Date,Comments
"December 15, 2024","I recently purchased the Apple Magic Mouse, and it has been a fantastic addition to my workspace. Here’s why I’m giving it a full 5-star rating:**Design:**The sleek, minimalist design of the Magic Mouse is both aesthetically pleasing and ergonomically comfortable. It fits perfectly in my hand, and the smooth, seamless surface feels great to the touch.**Touch Surface:**The multi-touch surface is incredibly responsive and intuitive. It allows for effortless scrolling, swiping, and clicking. The gestures make navigating through documents, web pages, and applications smooth and efficient.**Connectivity:**Connecting the Magic Mouse to my Mac was a breeze. It paired instantly via Bluetooth, and I haven’t experienced any connectivity issues. It’s a seamless experience from setup to daily use.**Battery Life:**The rechargeable battery is a significant improvement over the previous models. A single charge lasts for weeks, and the quick charge feature is handy when I need a quick boost of power.**Performance:**The tracking is precise, and the cursor movement is smooth and accurate. Whether I’m doing detailed graphic design work or simply browsing the web, the Magic Mouse performs flawlessly.**Compatibility:**The Magic Mouse works perfectly with macOS, taking full advantage of all the gesture controls and features. It’s also compatible with my iPad, adding to its versatility.**Build Quality:**As expected from Apple, the build quality is top-notch. It feels solid and durable, promising long-term reliability.Overall, the Apple Magic Mouse is a must-have accessory for any Mac user. Its sleek design, intuitive touch surface, and excellent performance make it well worth the investment. Highly recommended!"
"December 15, 2024","I really want to love it because I LOVE some of the touchpad-like functionality. But as many others have said, the ergonomics are really poor. I’ve considered getting some of the ergonomic accessories/add-ons, but it’s also a little heavy, and takes a bit more effort to engage a click than feels healthy. Wish it had tap to click! (I actually tried a third-party app to help with that – but while it added the functionality, it was a bit buggy/jumpy, so I didn’t keep using it.)Alas, this little guy is getting returned… Keeping it at 3 stars rather than 2 because for someone who is only a light computer user, it might be okay. But I have to use it for my remote computer job, for both design and admin."
"December 10, 2024",I loved that the Apple mouse is easy to use and makes it easy for me to scroll
"December 9, 2024","It's pretty hard to precisely aim it onto any small object (such as a close button or edge of a browser to drag or some position somewhere in a typed word) with acceleration turned on or off. It's super weird that I need to lift my middle finger from the mouse to use inertia scroll; if my middle finger is resting on the mouse, index finger scrolling doesn't have inertia. And of course, there's the famous charging port on the bottom. Other than that, it's quite nice, well built, and pleasing to use mouse. Oh, and it pinches fingers that I hold it with on the sides on every click, because entire top surface goes down."
"November 30, 2024",Mouse for MacBook Air
"November 29, 2024","I recently got my hands on the Apple Magic Mouse, and it has been a revelation! Here's why it deserves all five stars:Sleek Design: True to Apple's signature style, the Magic Mouse is a minimalist's dream. Its white, glossy finish is not just a visual treat but also complements my Mac and iPad perfectly.Seamless Connectivity: The Bluetooth connection is flawless. Pairing it with my devices took mere seconds, and the connection remains stable, ensuring uninterrupted productivity.Rechargeable Convenience: The built-in rechargeable battery is a huge plus. It charges quickly and lasts for weeks, eliminating the hassle and expense of constantly replacing batteries.Multi-Touch Surface: This feature is an absolute game-changer. The Multi-Touch surface allows for intuitive gestures like swiping between web pages and scrolling through documents. It makes navigation smooth and effortless, enhancing my overall workflow.Comfort and Precision: Despite its slim profile, the Magic Mouse is surprisingly comfortable to use for extended periods. The precision of the cursor movement is exceptional, making tasks like photo editing and graphic design a breeze.Delivered on April 30, 2024, near the front door or porch, my package arrived in acceptable used condition, but it functions like new. For $44.10, it was an incredible deal! Though the return window closed on May 16, 2024, I have no regrets.In summary, the Apple Magic Mouse is a perfect blend of style and functionality. Whether you're a professional or a casual user, this mouse is bound to elevate your computing experience. Highly recommended!"
"November 26, 2024",Purchased quite a while ago still hanging in there works perfect.
"November 26, 2024",Probably received as advertised. Good purchase.!
"November 21, 2024",It is very well made and functional. It is what one expects from Apple. The only reason I did not give it 5-stars is the way the charging port is located. The genius who designed the charging port on the bottom of the mouse should be fired or at least had his/her bonus taken away. How the hell can one used it when it is charged!
"November 20, 2024","This magic works great it just doesn't have a long battery life, have to charge every couple of days. This not tyical of Apple products."
"November 10, 2024",This mouse is heavy duty and does so much more than what an android mouse can do. Im amazed at its functions. Click quality can be managed for you as well as changing to a left click or right click. Best best for my money. Who knew a mouse could do so many things. Works great on my Mac Book Pro. Its weighty not a cheap plastic mouse. Extremely happy that I found this mouse for Apple computers.
"October 26, 2024","Last year I bought a new Mac Mini. Of course, it's just a box and requires a mouse, keyboard and monitor. My wife had an old, dead iMac, so I borrowed her keyboard (took it, actually lol). I had a monitor. But what I didn't have was a mouse. So my wife dug up an old Jolly Comb she'd been using on something else. One of those that requires you to plug in a dongle. Since it's battery powered, it also goes to sleep when you haven't used it for x minutes. Meaning you lose the cursor.And you lose a USB port. I do some music production, and that means I need USB ports, as many as I can get. So I finally got this Apple mouse, which I'd used years before.Un-plug the dongle, pair the Apple mouse once with a USB cable, and voila! I have a very responsive mouse, the cursor is always there (unless I'm typing etc.) and freed up that valuable USB port.Free of wires, another free USB port - life is good! :)"
"October 22, 2024","Apple products are such high quality it practically goes without saying but I said it anyway. The one thing I did not like about the Magic Mouse were the seemingly sharp edges on the top due to extreme cut over angle from top to sides. Therefore, I turned it off and pulled out a file and proceeded to gently file the edges down. I then used a fingernail emory board to finalize the rolled edge. Now it feels wonderful under my fingers. I have it four stars since I had to customize it before I felt comfortable using it."
"October 21, 2024","Nice mouse, functions fine, WAY too expensive as all apple products are for what it is."
"October 19, 2024","If you are a music producer, video editor, etc who uses a Mac, Get this! I cant explain how much it has improved my workflow using Logic Pro and Davinci Resolve. The battery life is actually insane as well, from the time of purchase to now I have not had to charge the mouse once so this perfectly makes up for the awkward position it has to be in while charging (which Ive never had to do yet; battery life 73%). Now Im not sure about other computers but I would absolutely vouch for this thing for anyone who uses Mac and needs to upgrade their workflow. The scrolling is elegant and better than any other mouse Ive ever used (specifically for Mac softwares); for example in Logic Pro I can finally scroll sideways instead of have to keep clicking back where I want to be while doing any editing/recording etc. This thing is a game changer. Not very ergonomic as other people said but its more subjective than not Id say, for me I dont mind the design at all and havent experienced any cramps or anything. That being said I wouldnt recommend for gaming but most certainly for editing/digital workflows on any Mac software."
"October 18, 2024",Took a little getting used to but now quite happy with the purchase. I am a first time MacBook Air user (had only used windows previously).Would recommend watching any tutorials you can find to use it to its max potential.
"October 18, 2024",Not the greatest functionality for the price.  Also disappointed the return window was only two weeks.  I went to return after really giving it a shot and was past window.
"October 16, 2024",Exactly what I expected
"October 4, 2024",It has taken me weeks to really be able to use it correctly. For younger users I'm sure no problem. I'm 84 tomorrow.
"September 12, 2024","This is a rechargeable mouse. I had one about 10 yers ago that uses batteries. This one is good because you just need to recharge it with lightening cable. If the charging port is C-type, would be even better."
"September 5, 2024","I like the mouse but the fact that it charges on bottom is obnoxious. You have to literally stop working. Kinda ruins this mouse for me because when you are focused and it goes dead with zero warning, it ruins your work focus."
"September 3, 2024","This is my second mac mouse. This one is smaller then the first one i had and really uncomfortable to hold.  I use the mouse all day and many times a day it won't track.  I tried everything, cleaning, turning bluetooth on and off.  Nothing works.  I am just going to get a 10$ mouse and hope it is better."
"August 14, 2024","Required full OS updates on M2 MacBook Air before full functionality was available (scrolling and swiping did not work until I updated). ""Auto"" connecting requires clicking the mouse before it will connect without going back into Bluetooth settings."
"August 7, 2024",It's too bad that even magic mice die.  Apple accessories are way overpriced but necessary.
"July 28, 2024",Plug n play. Excellent device.
"July 21, 2024","I like the fact that  it is made to do more than a traditional mouse.  It does take a minute to connect to the  computer.  I have found that if I turn it on first, it seems to connect faster."
"July 6, 2024","Connected to my new Mac Mini M4 lickity split. The new Mac knew I meant to pair it with this mouse, not the other Mac mouse 15 feet distant, paired with my M1 mini.So far, everything I'd expect from a magic mouse 2. I suspect it charges faster than my other (Lightening)  Mouse 2."
"June 26, 2024","Honestly it just feels weird to use, and it’s not exactly ergonomic."
"June 22, 2024","Based on the product information, the Apple Magic Mouse is designed to work with Mac computers and may have limited compatibility with non-Apple devices. It connects via Bluetooth and is optimized for use with macOS.frždrI was not able to use it.  I have Windows."
"April 26, 2024","On the positive side, buy the white one it works as well as the black one and is a lot cheaper!After using standard mice with batteries for years, I have a steep learning curve ahead of me. In fact when I use my MacBook sitting on the couch, I don’t use the mouse at all.I really can’t rate it properly until I have used it for some time. It feels good, looks good and coming from Apple should be fine until they produce another one every Apple lover needs to have🤑"
"February 27, 2024","The Magic Mouse is everything you’d expect from Apple—clean design and smooth functionality. The wireless connection is rock solid, and it pairs effortlessly with my Mac. The Multi-Touch surface is a game changer, making navigation feel intuitive and responsive. Plus, the rechargeable battery means no more digging for spare AA batteries. It’s a sleek addition to any setup, and it just works."
"October 22, 2023","If you have used one of these mice before then you don't really need a review. I'll just say it looks nice in black although it starts looking dirty slightly easier than the white one.If you haven't used this product before, these are some important considerations:a. It's the most Mac-compatible mouse that I know of, it being from the same company. So you'll have access to all the nice gestures and features. That is a huge plus if you're a fan of the MacOS interface.b. Its biggest flaw by far is the charging situation. The charging port is BELOW the mouse, making it physically impossible to charge the mouse WHILE using it. Battery lasts for a long time though, so it might be very rare that you cannot use it because it's charging--just remember to do so while you're away and you'll be good to go.c. As I mentioned, battery life is really good. You can also leave it sleeping without turning it off and nothing bad will happen. I think I charge mine every couple of months, with 3-5 days a week of usage.d. If you want this for gaming, DO NOT BUY, as you have no buttons, scroll wheel, and the sensor is totally tuned for everyday browsing and editing and not for precise movements, and its movement is very assisted (although I'm not sure to what extent that's on MacOS's side).e. About looks, it definitely looks nice both in white and black. Its wireless so it looks nice and elegant.f. On build quality, some units are not on par with the best of Apple's products, but it is still very solid. It definitely doesn't feel cheap although it's definitely pricey for what it does, considering that it hasn't been upgraded in many years.TL;DR: 4/5 stars. Negative: charging port, price. Positive: MacOS gestures, long battery life, looks a feels good."
"May 31, 2022","It's just like I purchased the mouse directly from Apple. It connected easily and works with my MacBook and iPad without issue. The battery life is AMAZING! I've had it for nearly a month and I only had to charge it once. Also, the feel in my hand is amazing. I also love the fact that it doesn't have the wheel but responds to fingers scrolling like on the screen. Totally worth the money I spent on it. I would buy another if I needed it."
"February 24, 2022","Very durable, the weight is good, Functionality is good, value for money, fits perfectly in hand. Thank you."
